date,pm25,pm10,o3,no2,so2, co
2019/4/27,55, , , , , 
2019/4/28,18, , , , , 
2019/4/29,31, , , , , 
2019/4/30,49, , , , , 
2019/5/1,59, , , , , 
2019/5/2,52, , , , , 
2019/5/3,46, , , , , 
2019/5/4,46, , , , , 
2019/5/5,35, , , , , 
2019/5/6,20, , , , , 
2019/5/7,40, , , , , 
2019/5/8,63, , , , , 
2019/5/9,33, , , , , 
2019/5/10,41, , , , , 
2019/5/11,46, , , , , 
2019/5/12,20, , , , , 
2019/5/13,37, , , , , 
2019/5/14,61, , , , , 
2019/5/15,27, , , , , 
2019/5/16,66, , , , , 
2019/5/17,46, , , , , 
2019/5/18,56, , , , , 
2019/5/19,56, , , , , 
2019/5/20,57, , , , , 
2019/5/21,27, , , , , 
2019/5/22,20, , , , , 
2019/5/23,35, , , , , 
2019/5/24,47, , , , , 
2019/5/25,29, , , , , 
2019/5/26,44, , , , , 
2019/5/27,42, , , , , 
2019/5/28,28, , , , , 
2019/5/29,50, , , , , 
2019/5/30,50, , , , , 
2019/5/31,28, , , , , 
2019/6/1,49, , , , , 
2019/6/2,69, , , , , 
2019/6/3,40, , , , , 
2019/6/4,26, , , , , 
2019/6/5,49, , , , , 
2019/6/6,65, , , , , 
2019/6/7,45, , , , , 
2019/6/8,44, , , , , 
2019/6/9,35, , , , , 
2019/6/10,28, , , , , 
2019/6/11,21, , , , , 
2019/6/12,20, , , , , 
2019/6/13,35, , , , , 
2019/6/14,29, , , , , 
2019/6/15,22, , , , , 
2019/6/16,50, , , , , 
2019/6/17,41, , , , , 
2019/6/18,39, , , , , 
2019/6/19,52, , , , , 
2019/6/20,58, , , , , 
2019/6/21,48, , , , , 
2019/6/22,75, , , , , 
2019/6/23,12, , , , , 
2019/6/24,23, , , , , 
2019/6/25,49, , , , , 
2019/6/26,45, , , , , 
2019/6/27,53, , , , , 
2019/6/28,53, , , , , 
2019/6/29,61, , , , , 
2019/6/30,60, , , , , 
2019/7/1,35, , , , , 
2019/1/2,22, , , , , 
2019/1/3,41, , , , , 
2019/1/4,38, , , , , 
2019/1/5,74, , , , , 
2019/1/6,52, , , , , 
2019/1/7,35, , , , , 
2019/1/8,23, , , , , 
2019/1/9,32, , , , , 
2019/1/10,24, , , , , 
2019/1/11,21, , , , , 
2019/1/12,40, , , , , 
2019/1/13,51, , , , , 
2019/1/14,54, , , , , 
2019/1/15,47, , , , , 
2019/1/16,53, , , , , 
2019/1/17,38, , , , , 
2019/1/18,37, , , , , 
2019/1/19,59, , , , , 
2019/1/20,48, , , , , 
2019/1/21,17, , , , , 
2019/1/22,33, , , , , 
2019/1/23,43, , , , , 
2019/1/24,56, , , , , 
2019/1/25,26, , , , , 
2019/1/26,34, , , , , 
2019/1/27,40, , , , , 
2019/1/28,42, , , , , 
2019/1/29,43, , , , , 
2019/1/30,45, , , , , 
2019/1/31,28, , , , , 
2019/2/1,35, , , , , 
2019/2/2,52, , , , , 
2019/2/3,90, , , , , 
2019/2/4,75, , , , , 
2019/2/5,74, , , , , 
2019/2/6,46, , , , , 
2019/2/7,50, , , , , 
2019/2/8,41, , , , , 
2019/2/9,20, , , , , 
2019/2/10,26, , , , , 
2019/2/11,46, , , , , 
2019/2/12,60, , , , , 
2019/2/13,19, , , , , 
2019/2/14,24, , , , , 
2019/2/15,32, , , , , 
2019/2/16,33, , , , , 
2019/2/17,33, , , , , 
2019/2/18,31, , , , , 
2019/2/19,41, , , , , 
2019/2/20,33, , , , , 
2019/2/21,28, , , , , 
2019/2/22,33, , , , , 
2019/2/23,64, , , , , 
2019/2/24,47, , , , , 
2019/2/25,18, , , , , 
2019/2/26,26, , , , , 
2019/2/27,31, , , , , 
2019/2/28,38, , , , , 
2019/3/1,45, , , , , 
2019/3/2,51, , , , , 
2019/3/3,65, , , , , 
2019/3/4,63, , , , , 
2019/3/5,28, , , , , 
2019/3/6,50, , , , , 
2019/3/7,45, , , , , 
2019/3/8,57, , , , , 
2019/3/9,60, , , , , 
2019/3/10,55, , , , , 
2019/3/11,32, , , , , 
2019/3/12,35, , , , , 
2019/3/13,44, , , , , 
2019/3/14,45, , , , , 
2019/3/15,39, , , , , 
2019/3/16,27, , , , , 
2019/3/17,20, , , , , 
2019/3/18,24, , , , , 
2019/3/19,33, , , , , 
2019/3/20,51, , , , , 
2019/3/21,52, , , , , 
2019/3/22,59, , , , , 
2019/3/23,36, , , , , 
2019/3/24,23, , , , , 
2019/3/25,58, , , , , 
2019/3/26,49, , , , , 
2019/3/27,26, , , , , 
2019/3/28,37, , , , , 
2019/3/29,41, , , , , 
2019/3/30,60, , , , , 
2019/3/31,57, , , , , 
2019/4/1,19, , , , , 
2018/10/2,59, , , , , 
2018/10/3,46, , , , , 
2018/10/4,41, , , , , 
2018/10/5,46, , , , , 
2018/10/6,38, , , , , 
2018/10/7,46, , , , , 
2018/10/8,59, , , , , 
2018/10/9,41, , , , , 
2018/10/10,25, , , , , 
2018/10/11,20, , , , , 
2018/10/12,28, , , , , 
2018/10/13,20, , , , , 
2018/10/14,23, , , , , 
2018/10/15,32, , , , , 
2018/10/16,28, , , , , 
2018/10/17,22, , , , , 
2018/10/18,28, , , , , 
2018/10/19,31, , , , , 
2018/10/20,53, , , , , 
2018/10/21,27, , , , , 
2018/10/22,18, , , , , 
2018/10/23,26, , , , , 
2018/10/24,26, , , , , 
2018/10/25,19, , , , , 
2018/10/26,37, , , , , 
2018/10/27,27, , , , , 
2018/10/28,20, , , , , 
2018/10/29,28, , , , , 
2018/10/30,26, , , , , 
2018/10/31,42, , , , , 
2018/11/1,48, , , , , 
2018/11/2,38, , , , , 
2018/11/3,19, , , , , 
2018/11/4,30, , , , , 
2018/11/5,32, , , , , 
2018/11/6,21, , , , , 
2018/11/7,24, , , , , 
2018/11/8,25, , , , , 
2018/11/9,43, , , , , 
2018/11/10,31, , , , , 
2018/11/11,25, , , , , 
2018/11/12,47, , , , , 
2018/11/13,62, , , , , 
2018/11/14,49, , , , , 
2018/11/15,32, , , , , 
2018/11/16,28, , , , , 
2018/11/17,44, , , , , 
2018/11/18,66, , , , , 
2018/11/19,64, , , , , 
2018/11/20,44, , , , , 
2018/11/21,43, , , , , 
2018/11/22,49, , , , , 
2018/11/23,17, , , , , 
2018/11/24,29, , , , , 
2018/11/25,31, , , , , 
2018/11/26,53, , , , , 
2018/11/27,19, , , , , 
2018/11/28,23, , , , , 
2018/11/29,38, , , , , 
2018/11/30,53, , , , , 
2018/12/1,73, , , , , 
2018/12/2,43, , , , , 
2018/12/3,27, , , , , 
2018/12/4,16, , , , , 
2018/12/5,21, , , , , 
2018/12/6,37, , , , , 
2018/12/7,37, , , , , 
2018/12/8,35, , , , , 
2018/12/9,59, , , , , 
2018/12/10,46, , , , , 
2018/12/11,61, , , , , 
2018/12/12,62, , , , , 
2018/12/13,62, , , , , 
2018/12/14,61, , , , , 
2018/12/15,62, , , , , 
2018/12/16,44, , , , , 
2018/12/17,24, , , , , 
2018/12/18,45, , , , , 
2018/12/19,32, , , , , 
2018/12/20,61, , , , , 
2018/12/21,41, , , , , 
2018/12/22,27, , , , , 
2018/12/23,31, , , , , 
2018/12/24,39, , , , , 
2018/12/25,37, , , , , 
2018/12/26,57, , , , , 
2018/12/27,48, , , , , 
2018/12/28,32, , , , , 
2018/12/29,26, , , , , 
2018/12/30,26, , , , , 
2018/12/31,36, , , , , 
2018/7/2,65, , , , , 
2018/7/3,51, , , , , 
2018/7/4,38, , , , , 
2018/7/5,47, , , , , 
2018/7/6,55, , , , , 
2018/7/7,31, , , , , 
2018/7/8,30, , , , , 
2018/7/9,32, , , , , 
2018/7/10,50, , , , , 
2018/7/11,64, , , , , 
2018/7/12,46, , , , , 
2018/7/13,42, , , , , 
2018/7/14,54, , , , , 
2018/7/15,63, , , , , 
2018/7/16,67, , , , , 
2018/7/17,59, , , , , 
2018/7/18,42, , , , , 
2018/7/19,37, , , , , 
2018/7/20,45, , , , , 
2018/7/21,49, , , , , 
2018/7/22,30, , , , , 
2018/7/23,30, , , , , 
2018/7/24,28, , , , , 
2018/7/25,23, , , , , 
2018/7/26,45, , , , , 
2018/7/27,59, , , , , 
2018/7/28,47, , , , , 
2018/7/29,33, , , , , 
2018/7/30,45, , , , , 
2018/7/31,46, , , , , 
2018/8/1,24, , , , , 
2018/8/2,46, , , , , 
2018/8/3,46, , , , , 
2018/8/4,41, , , , , 
2018/8/5,59, , , , , 
2018/8/6,70, , , , , 
2018/8/7,68, , , , , 
2018/8/8,50, , , , , 
2018/8/9,43, , , , , 
2018/8/10,51, , , , , 
2018/8/11,51, , , , , 
2018/8/12,39, , , , , 
2018/8/13,36, , , , , 
2018/8/14,45, , , , , 
2018/8/15,53, , , , , 
2018/8/16,69, , , , , 
2018/8/17,76, , , , , 
2018/8/18,60, , , , , 
2018/8/19,41, , , , , 
2018/8/20,31, , , , , 
2018/8/21,26, , , , , 
2018/8/22,39, , , , , 
2018/8/23,47, , , , , 
2018/8/24,43, , , , , 
2018/8/25,50, , , , , 
2018/8/26,49, , , , , 
2018/8/27,69, , , , , 
2018/8/28,69, , , , , 
2018/8/29,65, , , , , 
2018/8/30,48, , , , , 
2018/8/31,35, , , , , 
2018/9/1,51, , , , , 
2018/9/2,41, , , , , 
2018/9/3,32, , , , , 
2018/9/4,56, , , , , 
2018/9/5,43, , , , , 
2018/9/6,44, , , , , 
2018/9/7,50, , , , , 
2018/9/8,33, , , , , 
2018/9/9,28, , , , , 
2018/9/10,11, , , , , 
2018/9/11,19, , , , , 
2018/9/12,25, , , , , 
2018/9/13,28, , , , , 
2018/9/14,16, , , , , 
2018/9/15,20, , , , , 
2018/9/16,17, , , , , 
2018/9/17,24, , , , , 
2018/9/18,25, , , , , 
2018/9/19,38, , , , , 
2018/9/20,48, , , , , 
2018/9/21,53, , , , , 
2018/9/22,48, , , , , 
2018/9/23,26, , , , , 
2018/9/24,27, , , , , 
2018/9/25,14, , , , , 
2018/9/26,29, , , , , 
2018/9/27,32, , , , , 
2018/9/28,24, , , , , 
2018/9/29,30, , , , , 
2018/9/30,34, , , , , 
2018/10/1,48, , , , , 
2018/4/2,27, , ,11, , 
2018/4/3,40, , ,11, , 
2018/4/4,49, , ,6, , 
2018/4/5,28, , ,9, , 
2018/4/6,34, , ,8, , 
2018/4/7,30, , ,8, , 
2018/4/8,28, , ,7, , 
2018/4/9,37, , ,10, , 
2018/4/10,46, , ,13, , 
2018/4/11,51, , ,14, , 
2018/4/12,65, , ,10, , 
2018/4/13,47, , ,9, , 
2018/4/14,56, , ,12, , 
2018/4/15,75, , ,3, , 
2018/4/16,46, , ,7, , 
2018/4/17,18, , ,8, , 
2018/4/18,22, , ,10, , 
2018/4/19,33, , ,8, , 
2018/4/20,32, , ,10, , 
2018/4/21,29, , ,14, , 
2018/4/22,38, , ,6, , 
2018/4/23,35, , ,3, , 
2018/4/24,37, , ,6, , 
2018/4/25,24, , ,9, , 
2018/4/26,22, , ,9, , 
2018/4/27,31, , ,11, , 
2018/4/28,46, , ,9, , 
2018/4/29,41, , ,5, , 
2018/4/30,27, , ,19, , 
2018/5/1,48, , ,14, , 
2018/5/2,54, , ,12, , 
2018/5/3,63, , ,8, , 
2018/5/4,55, , ,7, , 
2018/5/5,52, , ,3, , 
2018/5/6,31, , ,2, , 
2018/5/7,36, , ,11, , 
2018/5/8,52, , ,7, , 
2018/5/9,51, , ,7, , 
2018/5/10,44, , ,8, , 
2018/5/11,55, , ,10, , 
2018/5/12,37, , ,8, , 
2018/5/13,63, , ,6, , 
2018/5/14,63, , ,10, , 
2018/5/15,57, , ,8, , 
2018/5/16,46, , ,7, , 
2018/5/17,47, , ,6, , 
2018/5/18,45, , ,6, , 
2018/5/19,36, , ,3, , 
2018/5/20,24, , ,5, , 
2018/5/21,38, , ,8, , 
2018/5/22,47, , ,7, , 
2018/5/23,48, , ,11, , 
2018/5/24,40, , ,14, , 
2018/5/25,65, , ,11, , 
2018/5/26,64, , ,10, , 
2018/5/27,68, , ,8, , 
2018/5/28,54, , ,7, , 
2018/5/29,70, , ,8, , 
2018/5/30,67, , ,2, , 
2018/5/31,32, , ,5, , 
2018/6/1,50, , ,7, , 
2018/6/2,56, , ,7, , 
2018/6/3,46, , ,5, , 
2018/6/4,48, , ,8, , 
2018/6/5,33, , ,10, , 
2018/6/6,41,12, ,9, ,1
2018/6/7,34,30, ,9, ,3
2018/6/8,60,35, ,12, ,4
2018/6/9,69,32, ,7, ,5
2018/6/10,73,19, ,8, ,2
2018/6/11,59,12, ,7, ,1
2018/6/12,24, , , , , 
2018/6/13,23, , , , , 
2018/6/14,40, , , , , 
2018/6/15,39, , , , , 
2018/6/16,42, , , , , 
2018/6/17,77, , , , , 
2018/6/18,55, , , , , 
2018/6/19,67, , , , , 
2018/6/20,33, , , , , 
2018/6/21,38, , , , , 
2018/6/22,43, , , , , 
2018/6/23,26, , , , , 
2018/6/24,29, , , , , 
2018/6/25,40, , , , , 
2018/6/26,31, , , , , 
2018/6/27,33, , , , , 
2018/6/28,30, , , , , 
2018/6/29,41, , , , , 
2018/6/30,72, , , , , 
2018/7/1,72, , , , , 
2018/1/2,60, , ,9, , 
2018/1/3,43, , ,21, , 
2018/1/4,71, , ,10, , 
2018/1/5,48, , ,9, , 
2018/1/6,33, , ,12, , 
2018/1/7,41, , ,19, , 
2018/1/8,81, , ,10, , 
2018/1/9,42, , ,13, , 
2018/1/10,63, , ,15, , 
2018/1/11,59, , ,7, , 
2018/1/12,32, , ,17, , 
2018/1/13,23, , ,9, , 
2018/1/14,22, , ,14, , 
2018/1/15,38, , ,13, , 
2018/1/16,42, , ,19, , 
2018/1/17,54, , ,18, , 
2018/1/18,75, , ,8, , 
2018/1/19,58, , ,6, , 
2018/1/20,42, , ,6, , 
2018/1/21,40, , ,9, , 
2018/1/22,54, , ,11, , 
2018/1/23,49, , ,6, , 
2018/1/24,30, , ,9, , 
2018/1/25,26, , ,12, , 
2018/1/26,41, , ,11, , 
2018/1/27,49, , ,16, , 
2018/1/28,48, , , , , 
2018/1/29,45, , ,14, , 
2018/1/30,46, , ,8, , 
2018/1/31,31, , ,14, , 
2018/2/1,51, , ,8, , 
2018/2/2,42, , ,7, , 
2018/2/3,40, , ,7, , 
2018/2/4,39, , ,7, , 
2018/2/5,44, , ,7, , 
2018/2/6,41, , ,14, , 
2018/2/7,56, , ,10, , 
2018/2/8,57, , ,13, , 
2018/2/9,65, , ,20, , 
2018/2/10,72, , ,20, , 
2018/2/11,69, , ,11, , 
2018/2/12,45, , ,12, , 
2018/2/13,48, , ,8, , 
2018/2/14,45, , ,11, , 
2018/2/15,48, , ,7, , 
2018/2/16,23, , ,8, , 
2018/2/17,38, , ,6, , 
2018/2/18,40, , ,6, , 
2018/2/19,43, , ,11, , 
2018/2/20,43, , ,6, , 
2018/2/21,46, , ,8, , 
2018/2/22,43, , ,7, , 
2018/2/23,23, , ,7, , 
2018/2/24,35, , ,5, , 
2018/2/25,34, , ,5, , 
2018/2/26,22, , ,12, , 
2018/2/27,33, , ,15, , 
2018/2/28,59, , ,14, , 
2018/3/1,41, , ,8, , 
2018/3/2,34, , ,3, , 
2018/3/3,22, , ,5, , 
2018/3/4,22, , ,6, , 
2018/3/5,26, , ,10, , 
2018/3/6,27, , ,8, , 
2018/3/7,45, , ,11, , 
2018/3/8,40, , ,8, , 
2018/3/9,27, , ,11, , 
2018/3/10,38, , ,15, , 
2018/3/11,53, , ,10, , 
2018/3/12,30, , ,10, , 
2018/3/13,36, , ,9, , 
2018/3/14,43, , ,8, , 
2018/3/15,30, , ,8, , 
2018/3/16,38, , ,8, , 
2018/3/17,36, , ,18, , 
2018/3/18,50, , ,21, , 
2018/3/19,40, , ,17, , 
2018/3/20,44, , ,9, , 
2018/3/21,36, , ,10, , 
2018/3/22,32, , ,12, , 
2018/3/23,29, , ,16, , 
2018/3/24,36, , ,10, , 
2018/3/25,35, , ,4, , 
2018/3/26,23, , ,4, , 
2018/3/27,29, , ,7, , 
2018/3/28,42, , ,15, , 
2018/3/29,45, , ,10, , 
2018/3/30,40, , ,9, , 
2018/3/31,27, , ,11, , 
2018/4/1,58, , ,4, , 
2017/10/2,32, , ,9, , 
2017/10/3,34, , ,9, , 
2017/10/4,39, , ,9, , 
2017/10/5,53, , ,11, , 
2017/10/6,53, , ,7, , 
2017/10/7,60, , ,6, , 
2017/10/8,46, , ,4, , 
2017/10/9,32, , ,6, , 
2017/10/10,20, , ,10, , 
2017/10/11,49, , ,7, , 
2017/10/12,45, , ,6, , 
2017/10/13,31, , ,2, , 
2017/10/14,24, , ,4, , 
2017/10/15,44, , ,6, , 
2017/10/16,51, , ,7, , 
2017/10/17,16, , ,10, , 
2017/10/18,51, , ,16, , 
2017/10/19,57, , ,13, , 
2017/10/20,60, , ,18, , 
2017/10/21,55, , ,9, , 
2017/10/22,59, , ,4, , 
2017/10/23,55, , ,4, , 
2017/10/24,38, , ,4, , 
2017/10/25,25, , ,6, , 
2017/10/26,27, , ,12, , 
2017/10/27,53, , ,7, , 
2017/10/28,44, , ,7, , 
2017/10/29,38, , ,5, , 
2017/10/30,30, , ,5, , 
2017/10/31,36, , ,7, , 
2017/11/1,32, , ,12, , 
2017/11/2,45, , ,10, , 
2017/11/3,58, , ,10, , 
2017/11/4,45, , ,3, , 
2017/11/5,39, , ,6, , 
2017/11/6,43, , ,7, , 
2017/11/7,27, , ,10, , 
2017/11/8,32, , ,11, , 
2017/11/9,28, , ,13, , 
2017/11/10,51, , ,6, , 
2017/11/11,18, , ,7, , 
2017/11/12,40, , ,15, , 
2017/11/13,60, , ,13, , 
2017/11/14,62, , ,13, , 
2017/11/15,57, , ,10, , 
2017/11/16,57, , ,7, , 
2017/11/17,33, , ,10, , 
2017/11/18,37, , ,10, , 
2017/11/19,49, , ,4, , 
2017/11/20,20, , ,7, , 
2017/11/21,48, , ,12, , 
2017/11/22,51, , , , , 
2017/11/23,24, , ,12, , 
2017/11/24,55, , ,16, , 
2017/11/25,73, , ,9, , 
2017/11/26,55, , ,5, , 
2017/11/27,26, , ,14, ,8
2017/11/28,58, , ,14, ,8
2017/11/29,54, , ,13, ,5
2017/11/30,41, , ,12, ,7
2017/12/1,49, , ,17, ,6
2017/12/2,77, , ,18, ,9
2017/12/3,87, , ,18, ,13
2017/12/4,119, , ,12, , 
2017/12/5,65, , ,9, , 
2017/12/6,42, , ,6, , 
2017/12/7,24, , ,8, , 
2017/12/8,34, , ,7, , 
2017/12/9,44, , ,11, , 
2017/12/10,48, , ,6, , 
2017/12/11,48, , ,10, , 
2017/12/12,47, , ,8, , 
2017/12/13,41, , ,9, , 
2017/12/14,29, , ,14, , 
2017/12/15,46, , ,16, , 
2017/12/16,60, , ,10, , 
2017/12/17,57, , ,17, , 
2017/12/18,76, , ,11, , 
2017/12/19,50, , ,6, , 
2017/12/20,43, , ,11, , 
2017/12/21,41, , ,10, , 
2017/12/22,32, , ,10, , 
2017/12/23,49, , ,8, , 
2017/12/24,39, , ,5, , 
2017/12/25,36, , ,3, , 
2017/12/26,40, , ,7, , 
2017/12/27,41, , ,9, , 
2017/12/28,48, , ,16, , 
2017/12/29,56, , ,14, , 
2017/12/30,59, , ,12, , 
2017/12/31,63, , ,17, , 
2018/1/1,56, , ,15, , 
2017/7/2,40, , ,6, , 
2017/7/3,44, , ,10, , 
2017/7/4,58, , ,7, , 
2017/7/5,57, , ,6, , 
2017/7/6,57, , ,6, , 
2017/7/7,51, , ,6, , 
2017/7/8,35, , ,6, , 
2017/7/9,38, , ,7, , 
2017/7/10,57, , ,9, , 
2017/7/11,61, , ,6, , 
2017/7/12,45, , ,6, , 
2017/7/13,61, , ,5, , 
2017/7/14,50, , ,9, , 
2017/7/15,54, , ,7, , 
2017/7/16,41, , ,9, , 
2017/7/17,59, , ,11, , 
2017/7/18,69, , ,12, , 
2017/7/19,62, , ,13, , 
2017/7/20,78, , ,11, , 
2017/7/21,78, , ,9, , 
2017/7/22,59, , ,4, , 
2017/7/23,52, , ,3, , 
2017/7/24,43, , ,6, , 
2017/7/25,40, , ,7, , 
2017/7/26,32, , ,8, , 
2017/7/27,46, , ,9, , 
2017/7/28,66, , ,8, , 
2017/7/29,58, , ,5, , 
2017/7/30,26, , ,5, , 
2017/7/31,52, , ,11, , 
2017/8/1,50, , ,17, , 
2017/8/2,78, , ,16, , 
2017/8/3,76, , ,8, , 
2017/8/4,56, , ,7, , 
2017/8/5,51, , ,4, , 
2017/8/6,35, , ,6, , 
2017/8/7,51, , ,9, , 
2017/8/8,47, , ,10, , 
2017/8/9,38, , ,7, , 
2017/8/10,62, , ,4, , 
2017/8/11,50, , ,9, , 
2017/8/12,63, , ,11, , 
2017/8/13,66, , ,6, , 
2017/8/14,50, , ,7, , 
2017/8/15,54, , ,9, , 
2017/8/16,63, , ,9, , 
2017/8/17,52, , ,6, , 
2017/8/18,55, , ,8, , 
2017/8/19,32, , ,7, , 
2017/8/20,51, , ,5, , 
2017/8/21,65, , ,7, , 
2017/8/22,65, , ,8, , 
2017/8/23,59, , ,10, , 
2017/8/24,39, , ,11, , 
2017/8/25,52, , ,10, , 
2017/8/26,45, , ,7, , 
2017/8/27,47, , ,2, , 
2017/8/28,54, , ,4, , 
2017/8/29,45, , ,4, , 
2017/8/30,38, , ,8, , 
2017/8/31,46, , ,12, , 
2017/9/1,57, , ,7, , 
2017/9/2,35, , , , , 
2017/9/4,39, , , , , 
2017/9/5,52, , ,10, , 
2017/9/6,80, , , , , 
2017/9/10,28, , ,4, , 
2017/9/11,26, , ,7, , 
2017/9/12,27, , ,6, , 
2017/9/13,36, , ,7, , 
2017/9/14,37, , ,6, , 
2017/9/15,36, , ,12, , 
2017/9/16,56, , ,8, , 
2017/9/17,60, , ,6, , 
2017/9/18,58, , ,10, , 
2017/9/19,64, , ,7, , 
2017/9/20,49, , ,15, , 
2017/9/21,63, , ,14, , 
2017/9/22,82, , ,13, , 
2017/9/23,53, , ,13, , 
2017/9/24,47, , ,10, , 
2017/9/25,52, , ,11, , 
2017/9/26,61, , ,13, , 
2017/9/27,65, , ,14, , 
2017/9/28,81, , ,7, , 
2017/9/29,20, , ,10, , 
2017/9/30,43, , ,4, , 
2017/10/1,22, , ,4, , 
2017/4/2,18, , , , , 
2017/4/3,32, , , , , 
2017/4/4,30, , , , , 
2017/4/5,23, , , , , 
2017/4/6,19, , , , , 
2017/4/7,19, , , , , 
2017/4/8,16, , , , , 
2017/4/9,29, , , , , 
2017/4/10,48, , , , , 
2017/4/11,50, , , , , 
2017/4/12,41, , , , , 
2017/4/13,31, , , , , 
2017/4/14,28, , , , , 
2017/4/15,37, , , , , 
2017/4/16,58, , , , , 
2017/4/17,37, , , , , 
2017/4/18,23, , , , , 
2017/4/19,23, , , , , 
2017/4/20,34, , ,8, , 
2017/4/21,41, , ,7, , 
2017/4/22,39, , ,6, , 
2017/4/23,22, , ,4, , 
2017/4/24,17, , ,7, , 
2017/4/25,27, , ,7, , 
2017/4/26,23, , ,6, , 
2017/4/27,29, , ,5, , 
2017/4/28,45, , ,9, , 
2017/4/29,39, , ,7, , 
2017/4/30,40, , ,4, , 
2017/5/1,51, , ,6, , 
2017/5/2,41, , ,4, , 
2017/5/3,18, , ,7, , 
2017/5/4,25, , ,4, , 
2017/5/5,32, , ,7, , 
2017/5/6,19, , ,4, , 
2017/5/7,17, , ,3, , 
2017/5/8,23, , ,10, , 
2017/5/9,23, , ,14, , 
2017/5/10,44, , ,16, , 
2017/5/11,51, , ,12, , 
2017/5/12,43, , ,7, , 
2017/5/13,23, , ,8, , 
2017/5/14,29, , ,6, , 
2017/5/15,48, , ,8, , 
2017/5/16,23, , ,10, , 
2017/5/17,52, , ,10, , 
2017/5/18,69, , ,12, , 
2017/5/19,70, , ,11, , 
2017/5/20,56, , ,6, , 
2017/5/21,43, , ,2, , 
2017/5/22,37, , ,9, , 
2017/5/23,35, , ,7, , 
2017/5/24,37, , ,4, , 
2017/5/25,32, , ,6, , 
2017/5/26,18, , ,9, , 
2017/5/27,28, , ,7, , 
2017/5/28,46, , ,3, , 
2017/5/29,59, , ,4, , 
2017/5/30,35, , ,8, , 
2017/5/31,49, , ,8, , 
2017/6/1,46, , ,11, , 
2017/6/2,42, , ,12, , 
2017/6/3,55, , ,11, , 
2017/6/4,56, , ,8, , 
2017/6/5,70, , ,8, , 
2017/6/6,56, , ,7, , 
2017/6/7,26, , ,8, , 
2017/6/8,24, , ,10, , 
2017/6/9,30, , ,15, , 
2017/6/10,54, , ,5, , 
2017/6/11,58, , ,6, , 
2017/6/12,63, , ,10, , 
2017/6/13,70, , ,11, , 
2017/6/14,71, , ,10, , 
2017/6/15,62, , ,9, , 
2017/6/16,54, , ,9, , 
2017/6/17,49, , ,4, , 
2017/6/18,41, , ,4, , 
2017/6/19,39, , ,7, , 
2017/6/20,34, , ,6, , 
2017/6/21,28, , ,13, , 
2017/6/22,56, , ,6, , 
2017/6/23,63, , ,5, , 
2017/6/24,25, , ,5, , 
2017/6/25,35, , ,7, , 
2017/6/26,36, , ,8, , 
2017/6/27,27, , ,7, , 
2017/6/28,22, , ,7, , 
2017/6/29,71, , ,8, , 
2017/6/30,59, , ,5, , 
2017/7/1,48, , ,5, , 
2017/1/3,21, , , , , 
2017/1/4,26, , , , , 
2017/1/5,20, , , , , 
2017/1/6,26, , , , , 
2017/1/7,54, , , , , 
2017/1/8,61, , , , , 
2017/1/9,42, , , , , 
2017/1/10,45, , , , , 
2017/1/11,32, , , , , 
2017/1/12,32, , , , , 
2017/1/13,30, , , , , 
2017/1/14,31, , , , , 
2017/1/15,43, , , , , 
2017/1/16,58, , , , , 
2017/1/17,68, , , , , 
2017/1/18,45, , , , , 
2017/1/19,23, , , , , 
2017/1/20,35, , , , , 
2017/1/21,42, , , , , 
2017/1/22,42, , , , , 
2017/1/23,40, , , , , 
2017/1/24,17, , , , , 
2017/1/25,32, , , , , 
2017/1/26,31, , , , , 
2017/1/27,21, , , , , 
2017/1/28,22, , , , , 
2017/1/29,37, , , , , 
2017/1/30,32, , , , , 
2017/1/31,35, , , , , 
2017/2/1,30, , , , , 
2017/2/2,33, , , , , 
2017/2/3,33, , , , , 
2017/2/4,49, , , , , 
2017/2/5,32, , , , , 
2017/2/6,53, , , , , 
2017/2/7,59, , , , , 
2017/2/8,38, , , , , 
2017/2/9,32, , , , , 
2017/2/10,23, , , , , 
2017/2/11,44, , , , , 
2017/2/12,43, , , , , 
2017/2/13,40, , , , , 
2017/2/14,29, , , , , 
2017/2/15,44, , , , , 
2017/2/16,29, , , , , 
2017/2/17,37, , , , , 
2017/2/18,63, , , , , 
2017/2/19,59, , , , , 
2017/2/20,59, , , , , 
2017/2/21,69, , , , , 
2017/2/22,44, , , , , 
2017/2/23,70, , , , , 
2017/2/24,51, , , , , 
2017/2/25,42, , , , , 
2017/2/26,50, , , , , 
2017/2/28,39, , , , , 
2017/3/1,41, , , , , 
2017/3/2,28, , , , , 
2017/3/3,24, , , , , 
2017/3/4,32, , , , , 
2017/3/5,33, , , , , 
2017/3/6,27, , , , , 
2017/3/7,50, , , , , 
2017/3/9,12, , , , , 
2017/3/10,22, , , , , 
2017/3/11,21, , , , , 
2017/3/12,23, , , , , 
2017/3/13,33, , , , , 
2017/3/14,35, , , , , 
2017/3/15,29, , , , , 
2017/3/16,24, , , , , 
2017/3/17,43, , , , , 
2017/3/18,70, , , , , 
2017/3/19,52, , , , , 
2017/3/20,50, , , , , 
2017/3/21,55, , , , , 
2017/3/22,44, , , , , 
2017/3/23,19, , , , , 
2017/3/24,30, , , , , 
2017/3/25,56, , , , , 
2017/3/26,61, , , , , 
2017/3/27,56, , , , , 
2017/3/28,34, , , , , 
2017/3/29,48, , , , , 
2017/3/30,24, , , , , 
