date,pm25,pm10,o3,no2,so2, co
2021/4/24,48, ,38,7, , 
2021/4/25,45, ,37,2, , 
2021/4/26,44, ,37,6, , 
2021/4/27,26, ,48,8, , 
2021/4/28,39, ,36,8, , 
2021/4/29,58, ,26,3, , 
2021/4/30,27, ,32,1, , 
2021/5/1,20, ,37,4, , 
2021/3/2,26, ,31,5, , 
2021/3/3,25, ,34,12, , 
2021/3/4,46, ,31,4, , 
2021/3/5,39, ,32,2, , 
2021/3/6,18, ,33,3, , 
2021/3/7,24, ,34,10, , 
2021/3/8,31, ,35,12, , 
2021/3/9,46, ,45,14, , 
2021/3/10,64, ,46,14, , 
2021/3/11,67, ,36,11, , 
2021/3/12,63, ,36,3, , 
2021/3/13,21, ,36,5, , 
2021/3/14,20, ,36,7, , 
2021/3/15,29, ,32,2, , 
2021/3/16,21, ,31,9, , 
2021/3/17,39, , , , , 
2021/3/18,48, , , , , 
2021/3/19,27, , , , , 
2021/3/20,17, , , , , 
2021/3/21,24, , , , , 
2021/3/22,24, , , , , 
2021/3/23,26, , , , , 
2021/3/24,22, , , , , 
2021/3/25,27, , , , , 
2021/3/26,47, , , , , 
2021/3/27,25, , , , , 
2021/3/28,66, , , , , 
2021/3/29,31, , , , , 
2021/3/30,23, , , , , 
2021/2/2,5, , , , , 
2021/1/5,39, ,16,5, , 
2021/1/6,38, ,26,3, , 
2021/1/7,47, ,23,6, , 
2021/1/8,30, ,15,10, , 
2021/1/9,33, ,22,7, , 
2021/1/10,49, ,20,12, , 
2021/1/11,57, ,23,10, , 
2021/1/12,73, ,24,7, , 
2021/1/13,64, ,24,19, , 
2021/1/14,51, ,28,12, , 
2021/1/15,41, ,24,13, , 
2021/1/16,32, ,21,9, , 
2021/1/17,44, ,16,4, , 
2021/1/18,27, ,24,2, , 
2021/1/19,24, ,27,6, , 
2021/1/20,37, ,26,5, , 
2021/1/21,32, ,28,6, , 
2021/1/22,32, ,25,4, , 
2021/1/23,31, , , , , 
2021/1/24,33, , , , , 
2021/1/25,44, , , , , 
2021/1/26,53, , , , , 
2021/1/27,30, ,28,3, , 
2021/1/28,29, ,29,2, , 
2021/1/29,18, ,29,5, , 
2021/1/30,26, ,5,18, , 
2021/1/31,38, , , , , 
2020/10/2,20, ,15,3, , 
2020/10/3,28, ,22,4, , 
2020/10/4,49, ,20,4, , 
2020/10/5,33, ,23,3, , 
2020/10/6,31, ,31,5, , 
2020/10/7,40, ,40,5, , 
2020/10/8,35, ,23,6, , 
2020/10/9,27, ,33,7, , 
2020/10/10,54, ,30,4, , 
2020/10/11,49, ,18,4, , 
2020/10/12,37, ,19,2, , 
2020/10/13,12, ,28,3, , 
2020/10/14,20, ,32,6, , 
2020/10/15,41, ,35,6, , 
2020/10/16,37, ,21,3, , 
2020/10/17,22, ,31,5, , 
2020/10/18,55, ,28,7, , 
2020/10/19,31, ,8,11, , 
2020/10/20,47, ,16,6, , 
2020/10/21,52, ,28,4, , 
2020/10/22,51, ,21,8, , 
2020/10/23,48, ,30,6, , 
2020/10/24,47, ,10,3, , 
2020/10/25,18, , , , , 
2020/10/26,15, ,12,4, , 
2020/10/27,30, ,15,4, , 
2020/10/28,32, ,6,7, , 
2020/10/29,35, ,20,4, , 
2020/10/30,20, ,16,1, , 
2020/10/31,22, ,23,5, , 
2020/11/1,30, ,23,8, , 
2020/11/2,30, ,25,1, , 
2020/11/3,18, ,26,5, , 
2020/11/4,41, ,31,12, , 
2020/11/5,42, ,34,11, , 
2020/11/6,54, ,33,10, , 
2020/11/7,63, ,28,12, , 
2020/11/8,79, ,27,11, , 
2020/11/9,76, ,20,12, , 
2020/11/10,39, ,22,10, , 
2020/11/11,37, ,14,14, , 
2020/11/12,38, ,20,6, , 
2020/11/13,34, ,23,8, , 
2020/11/14,54, , ,8, , 
2020/11/15,47, , ,7, , 
2020/11/16,26, ,29,1, , 
2020/11/17,19, , , , , 
2020/11/18,23, , , , , 
2020/11/19,31, ,21,13, , 
2020/11/20,35, ,33,8, , 
2020/11/21,36, ,11,9, , 
2020/11/22,52, ,20,6, , 
2020/11/23,44, ,20,3, , 
2020/11/24,31, ,18,10, , 
2020/11/25,30, ,13,13, , 
2020/11/26,40, ,20,1, , 
2020/11/27,23, ,17,3, , 
2020/11/28,32, ,21,5, , 
2020/11/29,41, ,18,9, , 
2020/11/30,63, ,17,6, , 
2020/12/1,20, ,18,3, , 
2020/12/2,16, ,21,4, , 
2020/12/3,35, ,18,8, , 
2020/12/4,25, ,14,12, , 
2020/12/5,32, ,22,3, , 
2020/12/6,32, ,23,1, , 
2020/12/7,18, ,24,3, , 
2020/12/8,22, ,21,3, , 
2020/12/9,27, ,16,9, , 
2020/12/10,41, ,16,11, , 
2020/12/11,77, ,30,11, , 
2020/12/12,58, ,29,9, , 
2020/12/13,46, ,17,2, , 
2020/12/14,27, ,20,4, , 
2020/12/15,34, ,18,6, , 
2020/12/16,24, ,19,4, , 
2020/12/17,22, ,8,9, , 
2020/12/18,48, ,17,8, , 
2020/12/19,58, ,13,11, , 
2020/12/20,46, ,16,12, , 
2020/12/21,32, ,17,8, , 
2020/12/22,35, ,15,2, , 
2020/12/23,38, ,16,13, , 
2020/12/24,32, ,19,8, , 
2020/12/25,21, ,17,1, , 
2020/12/26,28, ,22,3, , 
2020/12/27,35, ,19,14, , 
2020/12/28,38, ,24,4, , 
2020/12/29,33, ,29,7, , 
2020/12/30,29, , ,9, , 
2020/12/31,30, , ,5, , 
2021/1/1,44, , ,5, , 
2021/1/2,25, , ,2, , 
2021/1/3,19, , ,4, , 
2021/1/4,26, ,12,3, , 
2020/7/2,27, ,36,4, , 
2020/7/3,49, ,36,3, , 
2020/7/4,60, ,39,2, , 
2020/7/5,53, ,43,4, , 
2020/7/6,63, ,58,5, , 
2020/7/7,67, ,41,5, , 
2020/7/8,60, ,43,4, , 
2020/7/9,53, ,37,5, , 
2020/7/10,53, ,39,4, , 
2020/7/11,41, ,28,3, , 
2020/7/12,29, ,36,2, , 
2020/7/13,46, ,34,3, , 
2020/7/14,38, ,36,4, , 
2020/7/15,30, ,52,7, , 
2020/7/16,39, ,36,7, , 
2020/7/17,49, ,41,3, , 
2020/7/18,34, ,46,5, , 
2020/7/19,58, ,39,3, , 
2020/7/20,55, ,39,1, , 
2020/7/21,34, ,40,7, , 
2020/7/22,43, ,34,6, , 
2020/7/23,36, ,29,2, , 
2020/7/24,36, ,38,3, , 
2020/7/25,34, ,42,4, , 
2020/7/26,35, ,42,3, , 
2020/7/27,59, ,32,3, , 
2020/7/28,42, ,35,3, , 
2020/7/29,29, ,46,6, , 
2020/7/30,44, ,42,6, , 
2020/7/31,59, ,42,2, , 
2020/8/1,40, ,25,4, , 
2020/8/2,35, ,29,3, , 
2020/8/3,16, ,36,3, , 
2020/8/4,34, ,33,5, , 
2020/8/5,29, ,38,5, , 
2020/8/6,36, ,12,7, , 
2020/8/7,36, ,50,4, , 
2020/8/8,46, ,47,3, , 
2020/8/9,38, ,53,3, , 
2020/8/10,63, ,48,6, , 
2020/8/11,68, ,33,7, , 
2020/8/12,50, ,50,5, , 
2020/8/13,31, ,34,6, , 
2020/8/14,40, ,42,5, , 
2020/8/15,42, ,24,2, , 
2020/8/16,40, ,28,2, , 
2020/8/17,40, ,37,4, , 
2020/8/18,35, ,36,4, , 
2020/8/19,36, ,28,4, , 
2020/8/20,20, ,36,7, , 
2020/8/21,31, ,35,7, , 
2020/8/22,68, ,37,3, , 
2020/8/23,54, ,34,2, , 
2020/8/24,41, ,28,4, , 
2020/8/25,47, ,40,4, , 
2020/8/26,51, ,36,4, , 
2020/8/27,50, ,28,5, , 
2020/8/28,48, ,18,3, , 
2020/8/29,35, ,30,4, , 
2020/8/30,26, ,25,4, , 
2020/8/31,26, ,22,5, , 
2020/9/1,23, ,29,3, , 
2020/9/2,23, ,18,3, , 
2020/9/3,33, ,20,5, , 
2020/9/4,20, ,32,2, , 
2020/9/5,21, ,31,3, , 
2020/9/6,37, ,13,2, , 
2020/9/7,40, , , , , 
2020/9/8,43, ,32,6, , 
2020/9/9,37, ,32,6, , 
2020/9/10,30, ,39,5, , 
2020/9/11,86, ,30,3, , 
2020/9/12,58, ,26,2, , 
2020/9/13,25, ,14,1, , 
2020/9/14,20, ,23,3, , 
2020/9/15,28, ,20,4, , 
2020/9/16,20, ,29,5, , 
2020/9/17,39, ,29,6, , 
2020/9/18,62, ,24,2, , 
2020/9/19,37, ,27,3, , 
2020/9/20,22, ,30,4, , 
2020/9/21,26, ,29,6, , 
2020/9/22,22, ,37,7, , 
2020/9/23,40, ,44,8, , 
2020/9/24,66, ,26,8, , 
2020/9/25,68, ,39,10, , 
2020/9/26,61, , , , , 
2020/9/27,44, , , , , 
2020/9/28,37, ,27,5, , 
2020/9/29,37, ,15,2, , 
2020/9/30,24, ,21,3, , 
2020/10/1,23, ,26,2, , 
2020/4/2,22, ,37,2, , 
2020/4/3,22, ,39,5, , 
2020/4/4,19, ,34,5, , 
2020/4/5,31, ,39,5, , 
2020/4/6,56, ,36,4, , 
2020/4/7,28, ,26,11, , 
2020/4/8,52, ,37,5, , 
2020/4/9,30, ,32,4, , 
2020/4/10,24, ,33,1, , 
2020/4/11,19, ,38,3, , 
2020/4/12,28, ,39,6, , 
2020/4/13,40, ,29,5, , 
2020/4/14,16, ,33,1, , 
2020/4/15,29, ,37,3, , 
2020/4/16,32, ,34,2, , 
2020/4/17,37, ,34,9, , 
2020/4/18,43, ,38,5, , 
2020/4/19,36, ,37,4, , 
2020/4/20,35, ,38,5, , 
2020/4/21,21, ,35,5, , 
2020/4/22,23, ,35,2, , 
2020/4/23,27, ,34,5, , 
2020/4/24,34, ,26,4, , 
2020/4/25,33, ,36,4, , 
2020/4/26,36, ,28,1, , 
2020/4/27,14, ,34,3, , 
2020/4/28,20, ,31,4, , 
2020/4/29,40, ,44,8, , 
2020/4/30,34, ,38,2, , 
2020/5/1,14, ,25,1, , 
2020/5/2,24, ,38,4, , 
2020/5/3,41, ,38,3, , 
2020/5/4,45, ,27,2, , 
2020/5/5,16, ,26,3, , 
2020/5/6,15, ,30,3, , 
2020/5/7,26, ,41,5, , 
2020/5/8,29, ,27,4, , 
2020/5/9,26, ,29,3, , 
2020/5/10,16, ,40,3, , 
2020/5/11,22, ,22,1, , 
2020/5/12,23, ,34,3, , 
2020/5/13,23, ,45,9, , 
2020/5/14,32, ,34,9, , 
2020/5/15,42, ,37,5, , 
2020/5/16,40, ,37,1, , 
2020/5/17,23, ,33,5, , 
2020/5/18,33, ,31,3, , 
2020/5/19,27, ,38,2, , 
2020/5/20,23, ,38,1, , 
2020/5/21,20, ,30,2, , 
2020/5/22,35, ,21,4, , 
2020/5/23,27, ,35,3, , 
2020/5/24,36, ,30,4, , 
2020/5/25,45, ,34,1, , 
2020/5/26,39, ,31,5, , 
2020/5/27,26, ,25,4, , 
2020/5/28,24, ,23,2, , 
2020/5/29,26, ,31,2, , 
2020/5/30,63, ,32,1, , 
2020/5/31,24, ,33,2, , 
2020/6/1,51, ,15,4, , 
2020/6/2,28, , ,5, , 
2020/6/3,49, , ,2, , 
2020/6/4,43, , ,3, , 
2020/6/5,83, , ,2, , 
2020/6/6,44, ,43,2, , 
2020/6/7,42, ,35,2, , 
2020/6/8,26, ,41,7, , 
